name,category,mrp,offer_price,stock
SINGHADA ATTA 500 GM ,,155,100,5
BAJARA ATTA 500 GM,,50,25,10
MAIDA 1 KG,,75,40,3
METHI ATTA 1 KG,,100,90,11
PATANJALI MADHUISHTI HAWAN SAMAGRI,,325,325,11
SEABUCKTHORN CAPSULE,,468,468,2
SADBINDU TAILA 30 ML (100 PCS) -T,,100,100,10
DIVYA SWASARI RAS 10 G,,25,25,2
KALAVA MOLI ,,12,12,11
BALM ,,56,56,7
PATANJALI RASGULLA 1 KG,,210,210,1
AASTHA GOMAY HAWAN KUND,,300,300,1
DIVYA PEEDANTAK VATI 80 TAB,,103,103,1
DIVYA LAUH BHASMA ,,28,28,2
DIVYA AKIK PISHTI,,30,30,2
SHARBATI WHOLE WHEAT ATTA 5 KG,,320,320,1
DIVYA VISTINDUKADI VATI - 80 TAB,,55,55,6
BAKUCHI CHURNA 50 G,,30,30,2
GILOY GHAN VATI 60 PC (NEW,,93,93,2
DIVYA MEDOHAR VATI ,,93,93,1
DIVYA PEEDANIL TAILA 100 ML-T,,79,79,1
DIVYA KUTAJGHAN VATI 80 N (500 MG) - T,,120,120,1
CASHEW (KAJU) 250 GM (MONO),,365,365,3
CHANA SATTU 500 GM - T,,100,100,3
BESAN 500 G,,75,40,48
SABUDANA 500 GM,,70,70,14
CHANA DAL PAPAD 200 GM - T,,60,54,10
RAISINS BLACK 250 GM (MONO),,170,170,11
DIVYA PEEDANIL SPRAY 100 ML - T,,199,100,63
ROASTED CHANA 200 GM - T,,55,55,18
ROASTED CHANA 500 GM - T,,120,120,9
PAPAD KALI MIRCH - T,,50,50,14
PATANJALI THANDAI POWDER,,235,235,1
PISTA 250 GM (MONO),,415,415,12
APRICOT FACE SCRUB - 100 G,,130,130,1
PATANJALI DOODH BISCUIT 800 GM,,125,110,13
ROASTED DIET-QUINOA-MASALA FLAV 80 GM-T,,61,50,53
FIG (ANJEER) 250 GM (MONO),,525,525,5
NAVRATNA ATTA 2 KG,,180,180,4
MOONG DAL PAPAD -200 GM - T,,60,54,10
GOND KATIRA 100GM,,120,120,1
RAW PEANUTS 500 GM (10 PCS),,110,110,15
MISSI ATTA-1KG,,100,100,20
JAWAR ATTA 500 GM,,55,55,7
MIX DRY FRUITS WITH BERRIES & SEED 250 G,,225,225,14
DIABETIC ATTA-1KG,,120,120,5
RAGI ATTA 1 KG,,85,85,45
MALKA MASOOR 1000 GM (R1),,136,136,4
RAGI COOKIES DIGESTIVE 200 GM,,67.5,60,28
BEL SHARBAT 750 ML,,115,115,1
GULAB SHARBAT 750 ML,,125,125,2
COCONUT OIL 200 ML (J),,110,110,5
PATANJALI SUNSCREAM,,100,100,2
PATANJALI KAJAL,,100,98,1
PATANJALI BEL CANDY,,70,70,2
7 GRAIN DIGESTIVE BISCUIT 200 GM,,67.5,67.5,12
